Total,Has a computer,Has a computer With dial-up Internet subscription alone,Has a computer With a broadband Internet subscription,Has a computer Without an Internet subscription,Total No computer,id,Geographic Area Name
25386,21667,0,19844,1823,3719,22045,"Iberia Parish, Louisiana"
167596,148758,262,134213,14283,18838,22051,"Jefferson Parish, Louisiana"
94002,87650,79,81857,5714,6352,22055,"Lafayette Parish, Louisiana"
35838,31235,0,28116,3119,4603,22057,"Lafourche Parish, Louisiana"
49084,46591,63,42530,3998,2493,22063,"Livingston Parish, Louisiana"
155104,136292,100,119773,16419,18812,22071,"Orleans Parish, Louisiana"
55599,46102,398,41170,4534,9497,22073,"Ouachita Parish, Louisiana"
48915,43808,168,40165,3475,5107,22079,"Rapides Parish, Louisiana"
29965,22198,118,16542,5538,7767,22097,"St. Landry Parish, Louisiana"
93589,87266,193,80805,6268,6323,22103,"St. Tammany Parish, Louisiana"
47401,41561,68,38389,3104,5840,22105,"Tangipahoa Parish, Louisiana"
37911,33356,79,31279,1998,4555,22109,"Terrebonne Parish, Louisiana"
44897,40858,117,37408,3333,4039,23001,"Androscoggin County, Maine"
29931,24859,556,20419,3884,5072,23003,"Aroostook County, Maine"
123485,114803,298,109537,4968,8682,23005,"Cumberland County, Maine"
54299,48313,312,44166,3835,5986,23011,"Kennebec County, Maine"
61765,55648,473,51076,4099,6117,23019,"Penobscot County, Maine"
88416,81271,598,75782,4891,7145,23031,"York County, Maine"
27190,22813,82,21139,1592,4377,24001,"Allegany County, Maryland"
212687,201634,85,195307,6242,11053,24003,"Anne Arundel County, Maryland"
313259,290567,459,274596,15512,22692,24005,"Baltimore County, Maryland"
32145,30005,0,28535,1470,2140,24009,"Calvert County, Maryland"
60371,54985,142,52913,1930,5386,24013,"Carroll County, Maryland"
36620,32638,54,30166,2418,3982,24015,"Cecil County, Maryland"
56947,52393,150,49735,2508,4554,24017,"Charles County, Maryland"
95903,90147,85,86364,3698,5756,24021,"Frederick County, Maryland"
94802,88394,401,84378,3615,6408,24025,"Harford County, Maryland"
116903,113533,251,110161,3121,3370,24027,"Howard County, Maryland"
368334,355634,715,340267,14652,12700,24031,"Montgomery County, Maryland"
315759,300957,242,277133,23582,14802,24033,"Prince George's County, Maryland"
41239,37989,107,35714,2168,3250,24037,"St. Mary's County, Maryland"
56306,49775,109,45824,3842,6531,24043,"Washington County, Maryland"
38084,33619,59,30320,3240,4465,24045,"Wicomico County, Maryland"
237204,209555,569,182628,26358,27649,24510,"Baltimore city, Maryland"
86671,82135,102,77634,4399,4536,25001,"Barnstable County, Massachusetts"
55212,49658,191,46851,2616,5554,25003,"Berkshire County, Massachusetts"
215132,191400,380,176758,14262,23732,25005,"Bristol County, Massachusetts"
295481,272551,508,255215,16828,22930,25009,"Essex County, Massachusetts"
30391,27669,133,24687,2849,2722,25011,"Franklin County, Massachusetts"
178678,155531,946,141366,13219,23147,25013,"Hampden County, Massachusetts"
58902,54766,268,50886,3612,4136,25015,"Hampshire County, Massachusetts"
612224,576986,873,553979,22134,35238,25017,"Middlesex County, Massachusetts"
267880,253430,424,242941,10065,14450,25021,"Norfolk County, Massachusetts"
189304,177735,201,166542,10992,11569,25023,"Plymouth County, Massachusetts"
315049,290693,528,269519,20646,24356,25025,"Suffolk County, Massachusetts"
308831,285301,747,270744,13810,23530,25027,"Worcester County, Massachusetts"
43992,40002,227,36830,2945,3990,26005,"Allegan County, Michigan"
44469,39830,30,37698,2102,4639,26017,"Bay County, Michigan"
64783,58239,112,47699,10428,6544,26021,"Berrien County, Michigan"
53914,49092,135,44706,4251,4822,26025,"Calhoun County, Michigan"
29783,27349,145,25615,1589,2434,26037,"Clinton County, Michigan"
44879,42047,87,39091,2869,2832,26045,"Eaton County, Michigan"
169469,148428,457,133698,14273,21041,26049,"Genesee County, Michigan"
36782,34629,89,31662,2878,2153,26055,"Grand Traverse County, Michigan"
112170,105801,116,93222,12463,6369,26065,"Ingham County, Michigan"
25367,23331,74,19865,3392,2036,26073,"Isabella County, Michigan"
62598,56227,213,51579,4435,6371,26075,"Jackson County, Michigan"
104234,96664,716,91524,4424,7570,26077,"Kalamazoo County, Michigan"
244046,226890,475,211684,14731,17156,26081,"Kent County, Michigan"
33560,30172,161,27751,2260,3388,26087,"Lapeer County, Michigan"
38388,34700,118,31399,3183,3688,26091,"Lenawee County, Michigan"
72676,69688,38,65699,3951,2988,26093,"Livingston County, Michigan"
347508,320507,585,304203,15719,27001,26099,"Macomb County, Michigan"
26328,23233,16,21249,1968,3095,26103,"Marquette County, Michigan"
34091,29947,13,28099,1835,4144,26111,"Midland County, Michigan"
61586,55982,144,51382,4456,5604,26115,"Monroe County, Michigan"
67196,60713,421,55119,5173,6483,26121,"Muskegon County, Michigan"
503645,471392,575,450298,20519,32253,26125,"Oakland County, Michigan"
103438,97207,354,91047,5806,6231,26139,"Ottawa County, Michigan"
78740,69340,311,64284,4745,9400,26145,"Saginaw County, Michigan"
65751,59093,110,55606,3377,6658,26147,"St. Clair County, Michigan"
28218,25877,47,23400,2430,2341,26155,"Shiawassee County, Michigan"
28607,25847,132,23286,2429,2760,26159,"Van Buren County, Michigan"
143072,137406,34,130433,6939,5666,26161,"Washtenaw County, Michigan"
687546,615308,1279,535280,78749,72238,26163,"Wayne County, Michigan"
128140,121430,610,116417,4403,6710,27003,"Anoka County, Minnesota"
26362,24699,31,23272,1396,1663,27013,"Blue Earth County, Minnesota"
36925,35284,28,33668,1588,1641,27019,"Carver County, Minnesota"
162496,155843,220,149581,6042,6653,27037,"Dakota County, Minnesota"
508964,482143,1005,447202,33936,26821,27053,"Hennepin County, Minnesota"
63462,59280,306,54907,4067,4182,27109,"Olmsted County, Minnesota"
209287,194490,837,182473,11180,14797,27123,"Ramsey County, Minnesota"
23358,20971,49,19884,1038,2387,27131,"Rice County, Minnesota"
84370,74214,544,67717,5953,10156,27137,"St. Louis County, Minnesota"
50040,48144,77,46335,1732,1896,27139,"Scott County, Minnesota"
32033,30685,213,29351,1121,1348,27141,"Sherburne County, Minnesota"
58510,53763,243,48917,4603,4747,27145,"Stearns County, Minnesota"
96387,91176,356,88123,2697,5211,27163,"Washington County, Minnesota"
48863,44771,134,43026,1611,4092,27171,"Wright County, Minnesota"
63075,59578,59,56621,2898,3497,28033,"DeSoto County, Mississippi"
27248,23146,0,20589,2557,4102,28035,"Forrest County, Mississippi"
82375,75683,205,68299,7179,6692,28047,"Harrison County, Mississippi"
85483,76334,74,68908,7352,9149,28049,"Hinds County, Mississippi"
51659,47455,371,42788,4296,4204,28059,"Jackson County, Mississippi"
25098,22634,6,15548,7080,2464,28067,"Jones County, Mississippi"
29993,25969,81,24034,1854,4024,28075,"Lauderdale County, Mississippi"
32527,28293,55,24502,3736,4234,28081,"Lee County, Mississippi"
40229,38604,0,37350,1254,1625,28089,"Madison County, Mississippi"
55483,51464,125,45690,5649,4019,28121,"Rankin County, Mississippi"
72217,69103,305,60408,8390,3114,29019,"Boone County, Missouri"
33621,30775,139,28026,2610,2846,29021,"Buchanan County, Missouri"
28675,26153,92,24529,1532,2522,29031,"Cape Girardeau County, Missouri"
40197,37731,14,34798,2919,2466,29037,"Cass County, Missouri"
31421,28877,129,26040,2708,2544,29043,"Christian County, Missouri"
91901,87715,64,81714,5937,4186,29047,"Clay County, Missouri"
29593,27742,104,21305,6333,1851,29051,"Cole County, Missouri"
40387,36712,147,33596,2969,3675,29071,"Franklin County, Missouri"
128691,111790,291,94711,16788,16901,29077,"Greene County, Missouri"
288752,267004,320,240927,25757,21748,29095,"Jackson County, Missouri"
47846,42417,224,39129,3064,5429,29097,"Jasper County, Missouri"
85892,81341,51,75998,5292,4551,29099,"Jefferson County, Missouri"
40086,38824,109,37018,1697,1262,29165,"Platte County, Missouri"
149951,143088,128,138007,4953,6863,29183,"St. Charles County, Missouri"
25670,21834,61,20904,869,3836,29187,"St. Francois County, Missouri"
408117,378967,351,361065,17551,29150,29189,"St. Louis County, Missouri"
144295,125685,33,109679,15973,18610,29510,"St. Louis city, Missouri"
35558,30878,151,28264,2463,4680,30013,"Cascade County, Montana"
38372,34876,419,32482,1975,3496,30029,"Flathead County, Montana"
44423,42082,0,39313,2769,2341,30031,"Gallatin County, Montana"
27842,24917,0,23243,1674,2925,30049,"Lewis and Clark County, Montana"
50401,47923,60,45992,1871,2478,30063,"Missoula County, Montana"
66805,60700,269,55357,5074,6105,30111,"Yellowstone County, Montana"
220858,204483,460,192783,11240,16375,31055,"Douglas County, Nebraska"
125917,118576,311,111827,6438,7341,31109,"Lancaster County, Nebraska"
