"B01003_001E","B01003_001M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","id","Geographic Area Name"
"678701","*****","0500000US35001","Bernalillo County, New Mexico"
"64689","*****","0500000US35005","Chaves County, New Mexico"
"217522","*****","0500000US35013","Doña Ana County, New Mexico"
"69611","*****","0500000US35025","Lea County, New Mexico"
"72290","*****","0500000US35031","McKinley County, New Mexico"
"66781","*****","0500000US35035","Otero County, New Mexico"
"145179","*****","0500000US35043","Sandoval County, New Mexico"
"125043","*****","0500000US35045","San Juan County, New Mexico"
"150056","*****","0500000US35049","Santa Fe County, New Mexico"
"76456","*****","0500000US35061","Valencia County, New Mexico"
"307117","*****","0500000US36001","Albany County, New York"
"1432132","*****","0500000US36005","Bronx County, New York"
"191659","*****","0500000US36007","Broome County, New York"
"76840","*****","0500000US36009","Cattaraugus County, New York"
"77145","*****","0500000US36011","Cayuga County, New York"
"127939","*****","0500000US36013","Chautauqua County, New York"
"84254","*****","0500000US36015","Chemung County, New York"
"80695","*****","0500000US36019","Clinton County, New York"
"293718","*****","0500000US36027","Dutchess County, New York"
"919719","*****","0500000US36029","Erie County, New York"
"111755","*****","0500000US36045","Jefferson County, New York"
"2582830","*****","0500000US36047","Kings County, New York"
"63227","*****","0500000US36051","Livingston County, New York"
"70795","*****","0500000US36053","Madison County, New York"
"742474","*****","0500000US36055","Monroe County, New York"
"1358343","*****","0500000US36059","Nassau County, New York"
"1628701","*****","0500000US36061","New York County, New York"
"210433","*****","0500000US36063","Niagara County, New York"
"229577","*****","0500000US36065","Oneida County, New York"
"461809","*****","0500000US36067","Onondaga County, New York"
"109864","*****","0500000US36069","Ontario County, New York"
"381951","*****","0500000US36071","Orange County, New York"
"117898","*****","0500000US36075","Oswego County, New York"
"98892","*****","0500000US36079","Putnam County, New York"
"2278906","*****","0500000US36081","Queens County, New York"
"159442","*****","0500000US36083","Rensselaer County, New York"
"476179","*****","0500000US36085","Richmond County, New York"
"325695","*****","0500000US36087","Rockland County, New York"
"108047","*****","0500000US36089","St. Lawrence County, New York"
"230163","*****","0500000US36091","Saratoga County, New York"
"155350","*****","0500000US36093","Schenectady County, New York"
"95796","*****","0500000US36101","Steuben County, New York"
"1481093","*****","0500000US36103","Suffolk County, New York"
"75498","*****","0500000US36105","Sullivan County, New York"
"102793","*****","0500000US36109","Tompkins County, New York"
"178599","*****","0500000US36111","Ulster County, New York"
"64265","*****","0500000US36113","Warren County, New York"
"90064","*****","0500000US36117","Wayne County, New York"
"967612","*****","0500000US36119","Westchester County, New York"
"166436","*****","0500000US37001","Alamance County, North Carolina"
"136744","*****","0500000US37019","Brunswick County, North Carolina"
"259103","*****","0500000US37021","Buncombe County, North Carolina"
"90382","*****","0500000US37023","Burke County, North Carolina"
"211342","*****","0500000US37025","Cabarrus County, North Carolina"
"82029","*****","0500000US37027","Caldwell County, North Carolina"
"69524","*****","0500000US37031","Carteret County, North Carolina"
"158652","*****","0500000US37035","Catawba County, North Carolina"
"73139","*****","0500000US37037","Chatham County, North Carolina"
"97645","*****","0500000US37045","Cleveland County, North Carolina"
"102912","*****","0500000US37049","Craven County, North Carolina"
"332330","*****","0500000US37051","Cumberland County, North Carolina"
"166614","*****","0500000US37057","Davidson County, North Carolina"
"316739","*****","0500000US37063","Durham County, North Carolina"
"379099","*****","0500000US37067","Forsyth County, North Carolina"
"67560","*****","0500000US37069","Franklin County, North Carolina"
"222846","*****","0500000US37071","Gaston County, North Carolina"
"533670","*****","0500000US37081","Guilford County, North Carolina"
"134214","*****","0500000US37085","Harnett County, North Carolina"
"116748","*****","0500000US37089","Henderson County, North Carolina"
"178435","*****","0500000US37097","Iredell County, North Carolina"
"202675","*****","0500000US37101","Johnston County, North Carolina"
"83770","*****","0500000US37109","Lincoln County, North Carolina"
"1093901","*****","0500000US37119","Mecklenburg County, North Carolina"
"98682","*****","0500000US37125","Moore County, North Carolina"
"94016","*****","0500000US37127","Nash County, North Carolina"
"232274","*****","0500000US37129","New Hanover County, North Carolina"
"197683","*****","0500000US37133","Onslow County, North Carolina"
"146027","*****","0500000US37135","Orange County, North Carolina"
"179914","*****","0500000US37147","Pitt County, North Carolina"
"143351","*****","0500000US37151","Randolph County, North Carolina"
"131831","*****","0500000US37155","Robeson County, North Carolina"
"90690","*****","0500000US37157","Rockingham County, North Carolina"
