id,total (total_pop),total (int_access),total (income),perc_int_access,perc_income
17119,264461,108977,72691,41.2072,27.4865
17143,180621,71506,42810,39.589,23.7016
1117,215707,80944,55341,37.525,25.6556
1121,79828,31219,21701,39.1078,27.1847
1125,208911,74053,48006,35.4472,22.9792
1127,63711,24870,16729,39.0356,26.2576
2020,291538,105285,69667,36.1136,23.8964
2090,98971,36378,24187,36.7562,24.4385
2170,107610,32198,22647,29.921,21.0454
4001,71818,21936,13927,30.5439,19.3921
4003,126770,49751,31105,39.2451,24.5366
4005,142854,47275,29827,33.0932,20.8794
4013,4410824,1582464,1043279,35.8768,23.6527
4015,209550,90270,56545,43.078,26.984
4017,110445,34285,22926,31.0426,20.7578
4019,1039073,402323,246052,38.7194,23.68
4021,447138,147936,109641,33.0851,24.5206
4025,231993,100836,60140,43.4651,25.9232
4027,212128,74532,57564,35.1354,27.1364
5007,272608,100128,72344,36.7297,26.5377
5031,108558,42631,26748,39.2703,24.6394
21067,323780,131067,75825,40.4803,23.4187
21093,110356,41625,29677,37.7188,26.8921
21111,770517,311263,186545,40.3966,24.2104
21117,166051,64611,40085,38.9103,24.1402
21145,65346,27650,16899,42.3132,25.8608
21151,92368,33396,22411,36.1554,24.2627
21185,66470,21237,17568,31.9498,26.43
21227,131264,48843,30497,37.2097,23.2333
22005,124672,45102,34957,36.1765,28.0392
22015,127185,50099,31921,39.3907,25.0981
22017,242922,94778,57904,39.0158,23.8365
22019,203112,78351,50083,38.5753,24.6578
55105,163129,64632,40744,39.6202,24.9766
55109,89694,34422,24646,38.3771,27.4779
55117,115456,46308,29351,40.1088,25.4218
36005,1432132,507370,323214,35.4276,22.5687
36007,191659,75539,44761,39.4132,23.3545
36009,76840,32079,21167,41.7478,27.5469
36011,77145,30083,18400,38.9954,23.8512
36013,127939,53429,31831,41.7613,24.8798
36015,84254,34325,20837,40.7399,24.7312
37001,166436,64700,40499,38.8738,24.3331
