index,total_pop,id,Geographic Area Name
589,346868,41047,"Marion County, Oregon"
590,811880,41051,"Multnomah County, Oregon"
591,85234,41053,"Polk County, Oregon"
592,77516,41059,"Umatilla County, Oregon"
593,597695,41067,"Washington County, Oregon"
594,107002,41071,"Yamhill County, Oregon"
595,102811,42001,"Adams County, Pennsylvania"
596,1218452,42003,"Allegheny County, Pennsylvania"
597,65263,42005,"Armstrong County, Pennsylvania"
598,164742,42007,"Beaver County, Pennsylvania"
599,420152,42011,"Berks County, Pennsylvania"
600,122492,42013,"Blair County, Pennsylvania"
601,628195,42017,"Bucks County, Pennsylvania"
602,187888,42019,"Butler County, Pennsylvania"
603,131730,42021,"Cambria County, Pennsylvania"
604,64227,42025,"Carbon County, Pennsylvania"
605,162805,42027,"Centre County, Pennsylvania"
606,522046,42029,"Chester County, Pennsylvania"
607,79388,42033,"Clearfield County, Pennsylvania"
608,65456,42037,"Columbia County, Pennsylvania"
609,85063,42039,"Crawford County, Pennsylvania"
610,251423,42041,"Cumberland County, Pennsylvania"
611,277097,42043,"Dauphin County, Pennsylvania"
612,564751,42045,"Delaware County, Pennsylvania"
613,272061,42049,"Erie County, Pennsylvania"
614,130441,42051,"Fayette County, Pennsylvania"
615,154835,42055,"Franklin County, Pennsylvania"
616,84501,42063,"Indiana County, Pennsylvania"
617,210793,42069,"Lackawanna County, Pennsylvania"
618,543557,42071,"Lancaster County, Pennsylvania"
619,86184,42073,"Lawrence County, Pennsylvania"
620,141314,42075,"Lebanon County, Pennsylvania"
621,368100,42077,"Lehigh County, Pennsylvania"
622,317646,42079,"Luzerne County, Pennsylvania"
623,113664,42081,"Lycoming County, Pennsylvania"
624,110683,42085,"Mercer County, Pennsylvania"
625,169507,42089,"Monroe County, Pennsylvania"
626,828604,42091,"Montgomery County, Pennsylvania"
627,304807,42095,"Northampton County, Pennsylvania"
628,91083,42097,"Northumberland County, Pennsylvania"
629,1584138,42101,"Philadelphia County, Pennsylvania"
630,142067,42107,"Schuylkill County, Pennsylvania"
631,73952,42111,"Somerset County, Pennsylvania"
632,207346,42125,"Washington County, Pennsylvania"
633,350611,42129,"Westmoreland County, Pennsylvania"
634,448273,42133,"York County, Pennsylvania"
635,163861,44003,"Kent County, Rhode Island"
636,82542,44005,"Newport County, Rhode Island"
637,636084,44007,"Providence County, Rhode Island"
638,126179,44009,"Washington County, Rhode Island"
639,169401,45003,"Aiken County, South Carolina"
640,200482,45007,"Anderson County, South Carolina"
641,188715,45013,"Beaufort County, South Carolina"
642,221091,45015,"Berkeley County, South Carolina"
643,405905,45019,"Charleston County, South Carolina"
